V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	6.474930E-11	6.419460E-11	6.393140E-11	4.146140E-11
-2.900000E+0	6.468330E-11	6.418590E-11	6.387320E-11	4.143640E-11
-2.800000E+0	6.454780E-11	6.419680E-11	6.379310E-11	4.142880E-11
-2.700000E+0	6.442300E-11	6.401460E-11	6.369390E-11	4.142840E-11
-2.600000E+0	6.430020E-11	6.383180E-11	6.365510E-11	4.140020E-11
-2.500000E+0	6.429820E-11	6.379580E-11	6.356970E-11	4.134610E-11
-2.400000E+0	6.432390E-11	6.389060E-11	6.353540E-11	4.133900E-11
-2.300000E+0	6.419160E-11	6.407860E-11	6.344850E-11	4.132890E-11
-2.200000E+0	6.406910E-11	6.407320E-11	6.341220E-11	4.128860E-11
-2.100000E+0	6.404360E-11	6.385820E-11	6.333990E-11	4.129490E-11
-2.000000E+0	6.390170E-11	6.351590E-11	6.327160E-11	4.126560E-11
-1.900000E+0	6.375030E-11	6.318430E-11	6.318390E-11	4.127950E-11
-1.800000E+0	6.369100E-11	6.314790E-11	6.311210E-11	4.119200E-11
-1.700000E+0	6.358280E-11	6.326510E-11	6.308530E-11	4.122850E-11
-1.600000E+0	6.364930E-11	6.337470E-11	6.301810E-11	4.113920E-11
-1.500000E+0	6.360940E-11	6.329610E-11	6.294160E-11	4.117410E-11
-1.400000E+0	6.357060E-11	6.294390E-11	6.287170E-11	4.112750E-11
-1.300000E+0	6.328260E-11	6.259250E-11	6.282880E-11	4.108780E-11
-1.200000E+0	6.330840E-11	6.257300E-11	6.275170E-11	4.106410E-11
-1.100000E+0	6.333780E-11	6.284950E-11	6.270680E-11	4.105670E-11
-1.000000E+0	6.319230E-11	6.277980E-11	6.262610E-11	4.101660E-11
-9.000000E-1	6.309620E-11	6.276600E-11	6.257010E-11	4.102100E-11
-8.000000E-1	6.299510E-11	6.266360E-11	6.248740E-11	4.095420E-11
-7.000000E-1	6.295750E-11	6.260900E-11	6.240930E-11	4.095760E-11
-6.000000E-1	6.288170E-11	6.253560E-11	6.233850E-11	4.090170E-11
-5.000000E-1	6.284170E-11	6.248550E-11	6.228820E-11	4.087350E-11
-4.000000E-1	6.282110E-11	6.242720E-11	6.224840E-11	4.087270E-11
-3.000000E-1	6.257960E-11	6.236920E-11	6.216670E-11	4.084950E-11
-2.000000E-1	6.265600E-11	6.224860E-11	6.207940E-11	4.079710E-11
-1.000000E-1	6.257300E-11	6.222420E-11	6.203710E-11	4.075400E-11
0.000000E+0	6.252030E-11	6.215920E-11	6.194720E-11	4.072870E-11
1.000000E-1	6.231810E-11	6.210420E-11	6.191580E-11	4.076940E-11
2.000000E-1	6.236780E-11	6.202840E-11	6.185910E-11	4.072080E-11
3.000000E-1	6.233460E-11	6.199460E-11	6.177760E-11	4.067280E-11
4.000000E-1	6.225950E-11	6.190930E-11	6.172470E-11	4.059750E-11
5.000000E-1	6.206730E-11	6.184650E-11	6.166750E-11	4.061830E-11
6.000000E-1	6.205860E-11	6.178120E-11	6.159780E-11	4.056690E-11
7.000000E-1	6.212230E-11	6.177110E-11	6.154150E-11	4.057270E-11
8.000000E-1	6.198430E-11	6.167190E-11	6.148840E-11	4.046740E-11
9.000000E-1	6.197160E-11	6.165270E-11	6.141610E-11	4.050530E-11
1.000000E+0	6.193390E-11	6.158700E-11	6.135430E-11	4.041300E-11
1.100000E+0	6.188260E-11	6.156570E-11	6.131680E-11	4.048040E-11
1.200000E+0	6.180650E-11	6.144490E-11	6.125170E-11	4.036050E-11
1.300000E+0	6.175440E-11	6.141220E-11	6.117840E-11	4.037830E-11
1.400000E+0	6.166680E-11	6.138740E-11	6.112840E-11	4.033960E-11
1.500000E+0	6.160810E-11	6.132530E-11	6.106440E-11	4.027520E-11
1.600000E+0	6.165940E-11	6.125060E-11	6.101010E-11	4.023880E-11
1.700000E+0	6.147050E-11	6.120840E-11	6.094960E-11	4.020590E-11
1.800000E+0	6.159110E-11	6.117380E-11	6.089610E-11	4.018440E-11
1.900000E+0	6.145020E-11	6.110700E-11	6.083780E-11	4.016900E-11
2.000000E+0	6.137330E-11	6.106640E-11	6.078370E-11	4.012120E-11
2.100000E+0	6.139420E-11	6.097640E-11	6.073840E-11	4.011900E-11
2.200000E+0	6.131440E-11	6.096170E-11	6.068310E-11	4.004590E-11
2.300000E+0	6.123050E-11	6.090310E-11	6.062560E-11	4.003060E-11
2.400000E+0	6.123240E-11	6.081670E-11	6.057160E-11	3.995860E-11
2.500000E+0	6.126650E-11	6.082400E-11	6.048840E-11	3.995700E-11
2.600000E+0	6.129990E-11	6.078820E-11	6.045460E-11	3.992870E-11
2.700000E+0	6.111830E-11	6.070210E-11	6.037740E-11	3.992250E-11
2.800000E+0	6.104910E-11	6.065550E-11	6.031500E-11	3.987450E-11
2.900000E+0	6.104530E-11	6.084330E-11	6.026000E-11	3.986760E-11
3.000000E+0	6.102820E-11	6.078440E-11	6.020920E-11	3.981480E-11
